"PublisherLabel" "RegistrationDate" "Ethnicity" "Nationality" "Reason" "Need" "Age" "DecisionDate" "Decision" "DecisionCode"
"London Borough of Hounslow" 2006-10-16 "Other" "Not Rec" "loss of rented - other" "dependent children" 35 2007-04-13 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-10-17 "White: British" "Not Rec" "eviction - parents" "dependent children" 19 2006-10-18 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-10-17 "White: British" "Not Rec" "other" "dependent children" 34 2006-11-09 "management transfer" 1
"London Borough of Hounslow" 2006-10-17 "White: British" "Not Rec" "loss of rented - other" "vulnerable-mental illness" 46 2006-11-27 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-10-17 "Black/BlkBrit: Other" "Not Rec" "eviction - parents" "pregnant" 25 2006-12-12 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-10-17 "White: British" "Not Rec" "eviction - parents" "pregnant" 23 2006-12-19 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-10-19 "Black/BlkBrit: Caribbean" "Not Rec" "loss of rented - other" "dependent children" 22 2006-10-23 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-10-19 "White: British" "Not Rec" "eviction - parents" "dependent children" 20 2006-11-14 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-10-19 "White: British" "Not Rec" "eviction - parents" "vulnerable - other" 19 2006-11-27 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-10-19 "Asian/AsBrit: Indian" "Not Rec" "end AST not arrears" "vulnerable - physical" 31 2006-12-19 "Not Homeless" 4
"London Borough of Hounslow" 2006-10-23 "White: British" "Not Rec" "mortgage arrears" "dependent children" 24 2006-12-22 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-10-25 "White: Other" "Not Rec" "end AST not arrears" "vulnerable - physical" 27 2006-11-15 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-10-25 "No Information Provided" "Not Rec" "DV - partner" "vulnerable - other" 43 2006-11-28 "no priority need" 3
"London Borough of Hounslow" 2006-10-25 "Black/BlkBrit: African" "Not Rec" "eviction - relatives" "pregnant" 27 2006-12-19 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-10-26 "White: British" "Not Rec" "eviction - parents" "dependent children" 20 2006-10-26 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-10-26 "Black/BlkBrit: Caribbean" "Not Rec" "relationshp brkdwn not DV" "vulnerable - physical" 33 2006-11-10 "no priority need" 3
"London Borough of Hounslow" 2006-10-26 "Black/BlkBrit: Caribbean" "Not Rec" "eviction - parents" "dependent children" 26 2007-07-06 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-10-26 "Black/BlkBrit: Caribbean" "Not Rec" "relationshp brkdwn not DV" "vulnerable - physical" 34 2007-07-19 "Intentionally homeless" 2
"London Borough of Hounslow" 2006-10-26 "Black/BlkBrit: Caribbean" "Not Rec" "relationshp brkdwn not DV" "vulnerable - physical" 34 2007-09-24 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-10-27 "Black/BlkBrit: African" "Not Rec" "eviction - relatives" "vulnerable - old age" 70 2006-12-21 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-10-30 "White: British" "Not Rec" "eviction - relatives" "pregnant" 31 2006-10-31 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-10-30 "White: British" "Not Rec" "eviction - relatives" "dependent children" 31 2006-11-23 "Intentionally homeless" 2
"London Borough of Hounslow" 2006-10-30 "Black/BlkBrit: African" "Not Rec" "eviction - relatives" "dependent children" 52 2006-11-23 "Not Homeless" 4
"London Borough of Hounslow" 2006-10-30 "White: British" "Not Rec" "leaving prison" "vulnerable - old age" 73 2006-12-12 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-10-30 "White: Other" "Not Rec" "eviction - parents" "young person 16/17 yrs" 16 2007-02-02 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-10-30 "Asian/AsBrit: Indian" "UK National" "DV - partner" "domestic violence/ threat" 33 2007-02-08 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-10-31 "Black/BlkBrit: African" "Not Rec" "eviction - relatives" "no priority need" 48 2006-10-31 "no priority need" 3
"London Borough of Hounslow" 2006-10-31 "Asian/AsBrit: Other" "Not Rec" "loss of rented - other" "dependent children" 32 2006-12-14 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-10-31 "No Information Provided" "Not Rec" "loss of rented - other" "dependent children" 25 2006-12-19 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-10-31 "Mixed: White/Black Caribn" "Not Rec" "eviction - parents" "young person 16/17 yrs" 17 2007-01-01 "Intentionally homeless" 2
"London Borough of Hounslow" 2006-11-01 "White: British" "Not Rec" "eviction - relatives" "vulnerable-mental illness" 18 2006-11-01 "Not Homeless" 4
"London Borough of Hounslow" 2006-11-01 "Black/BlkBrit: African" "Not Rec" "eviction - relatives" "vulnerable - physical" 37 2006-12-05 "not elig, other" 5
"London Borough of Hounslow" 2006-11-02 "No Information Provided" "Not Rec" "eviction - parents" "dependent children" 20 2006-11-14 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-11-02 "No Information Provided" "Not Rec" "eviction - relatives" "pregnant" 18 2006-11-20 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-11-03 "Asian/AsBrit: Other" "Not Rec" "eviction - relatives" "dependent children" 39 2006-11-09 "not elig, hab res test" 5
"London Borough of Hounslow" 2006-11-03 "Other" "Not Rec" "eviction - parents" "young person 16/17 yrs" 17 2006-11-09 "Not Homeless" 4
"London Borough of Hounslow" 2006-11-03 "Black/BlkBrit: Caribbean" "Not Rec" "eviction - parents" "dependent children" 21 2006-11-29 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-11-03 "Other" "Not Rec" "eviction - parents" "young person 16/17 yrs" 17 2006-12-08 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-11-03 "Asian/AsBrit: Other" "Not Rec" "eviction - relatives" "dependent children" 40 2007-09-24 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-11-06 "White: Other" "Not Rec" "loss of rented - other" "no priority need" 56 2006-11-08 "no priority need" 3
"London Borough of Hounslow" 2006-11-09 "White: British" "UK National" "eviction - parents" "dependent children" 22 2006-11-10 "Not Homeless" 4
"London Borough of Hounslow" 2006-11-09 "Black/BlkBrit: African" "Not Rec" "resident llord eviction" "dependent children" 29 2006-11-14 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-11-09 "White: British" "UK National" "eviction - parents" "pregnant" 18 2006-12-05 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-11-09 "White: British" "UK National" "eviction - parents" "dependent children" 17 2006-12-12 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-11-09 "White: Other" "Not Rec" "eviction - relatives" "vulnerable - physical" 40 2014-09-11 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-11-10 "No Information Provided" "Not Rec" "leaving hospital" "dependent children" 41 2006-12-04 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-11-10 "White: Other" "Not Rec" "end AST not arrears" "dependent children" 36 2007-02-22 "Not Homeless" 4
"London Borough of Hounslow" 2006-11-13 "Black/BlkBrit: Other" "Not Rec" "eviction - parents" "young person 16/17 yrs" 17 2006-11-17 "Not Homeless" 4
"London Borough of Hounslow" 2006-11-13 "Mixed: White/Black Caribn" "Not Rec" "eviction - parents" "young person 16/17 yrs" 16 2006-11-20 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-11-13 "White: British" "UK National" "eviction - parents" "young person 16/17 yrs" 17 2006-11-27 "Intentionally homeless" 2
"London Borough of Hounslow" 2006-11-13 "White: British" "Not Rec" "eviction - parents" "young person 16/17 yrs" 17 2007-03-19 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-11-14 "Black/BlkBrit: African" "Not Rec" "eviction - parents" "young person 16/17 yrs" 17 2006-11-20 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-11-14 "Black/BlkBrit: Other" "Not Rec" "emergency e.g. fire" "dependent children" 47 2006-11-28 "management transfer" 1
"London Borough of Hounslow" 2006-11-15 "Asian/AsBrit: Bangladeshi" "Not Rec" "DV - assoc pers not partn" "pregnant" 19 2006-12-08 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-11-15 "White: British" "Not Rec" "eviction - parents" "young person 16/17 yrs" 16 2007-02-05 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-11-16 "White: British" "Not Rec" "eviction - parents" "young person 16/17 yrs" 16 2006-11-17 "Not Homeless" 4
"London Borough of Hounslow" 2006-11-16 "Other" "Not Rec" "eviction - relatives" "vulnerable-mental illness" 27 2006-12-06 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-11-16 "Other" "Not Rec" "other" "dependent children" 29 2006-12-08 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-11-17 "Black/BlkBrit: African" "Not Rec" "end AST not arrears" "vulnerable-mental illness" 36 2006-11-17 "Not Homeless" 4
"London Borough of Hounslow" 2006-11-17 "Asian/AsBrit: Other" "Not Rec" "end AST not arrears" "dependent children" 35 2006-11-22 "Not Homeless" 4
"London Borough of Hounslow" 2006-11-17 "Black/BlkBrit: African" "Not Rec" "end AST not arrears" "dependent children" 38 2006-12-08 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-11-17 "White: British" "UK National" "eviction - parents" "dependent children" 18 2007-02-19 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-11-20 "White: British" "Not Rec" "eviction - parents" "young person 16/17 yrs" 17 2006-12-20 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-11-20 "No Information Provided" "Not Rec" "emergency e.g. fire" "dependent children" 20 2007-01-15 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-11-20 "No Information Provided" "Not Rec" "rent arrears - private" "dependent children" 41 2007-01-24 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-11-21 "White: British" "Not Rec" "eviction - parents" "pregnant" 17 2006-11-22 "Not Homeless" 4
"London Borough of Hounslow" 2006-11-21 "No Information Provided" "Not Rec" "eviction - parents" "young person 16/17 yrs" 18 2006-11-23 "Not Homeless" 4
"London Borough of Hounslow" 2006-11-21 "Black/BlkBrit: African" "Not Rec" "other" "dependent children" 31 2006-11-23 "Not Homeless" 4
"London Borough of Hounslow" 2006-11-21 "Asian/AsBrit: Other" "Not Rec" "end AST not arrears" "dependent children" 42 2007-02-26 "Not Homeless" 4
"London Borough of Hounslow" 2006-11-21 "Black/BlkBrit: African" "Not Rec" "DV - assoc pers not partn" "young person 16/17 yrs" 16 2007-03-19 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-11-22 "Black/BlkBrit: African" "Not Rec" "leaving care" "care leaver under 21 yrs" 19 2007-01-12 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-11-22 "White: Other" "Not Rec" "eviction - parents" "dependent children" 42 2007-06-27 "Not Homeless" 4
"London Borough of Hounslow" 2006-11-23 "Other" "Non-EEA National" "eviction - relatives" "dependent children" 49 2006-12-06 "no priority need" 3
"London Borough of Hounslow" 2006-11-23 "White: British" "Not Rec" "eviction - parents" "young person 16/17 yrs" 17 2006-12-12 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-11-23 "Black/BlkBrit: African" "Not Rec" "rent arrears - HA" "dependent children" 34 2006-12-19 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-11-23 "White: British" "Not Rec" "relationshp brkdwn not DV" "dependent children" 29 2006-12-19 "Not Homeless" 4
"London Borough of Hounslow" 2006-11-23 "Black/BlkBrit: Other" "Not Rec" "end AST not arrears" "vulnerable - physical" 31 2007-01-09 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-11-23 "Black/BlkBrit: Caribbean" "Not Rec" "eviction - relatives" "dependent children" 43 2007-01-29 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-11-23 "Black/BlkBrit: African" "Not Rec" "end AST not arrears" "dependent children" 29 2007-01-29 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-11-24 "Other" "Not Rec" "eviction - relatives" "vulnerable-mental illness" 36 2006-12-11 "no priority need" 3
"London Borough of Hounslow" 2006-11-24 "Asian/AsBrit: Other" "Not Rec" "DV - assoc pers not partn" "dependent children" 23 2007-04-30 "section 198 out" 1
"London Borough of Hounslow" 2006-11-24 "Black/BlkBrit: African" "Not Rec" "rent arrears - private" "dependent children" 42 2007-06-08 "not elig, other" 5
"London Borough of Hounslow" 2006-11-24 "Asian/AsBrit: Other" "Not Rec" "DV - assoc pers not partn" "dependent children" 23 2007-07-02 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-11-28 "White: British" "Not Rec" "resident llord eviction" "vulnerable - old age" 61 2007-12-07 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-11-29 "No Information Provided" "Not Rec" "eviction - parents" "pregnant" 22 2006-11-30 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-11-29 "Asian/AsBrit: Other" "Not Rec" "end NASS accommodation" "dependent children" 30 2006-12-01 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-11-29 "White: British" "Not Rec" "DV - partner" "domestic violence/ threat" 43 2007-02-01 "Not Homeless" 4
"London Borough of Hounslow" 2006-11-29 "Black/BlkBrit: African" "Not Rec" "other" "dependent children" 28 2007-02-14 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-11-30 "White: British" "Not Rec" "other harassment" "alcohol dependency" 53 2007-01-09 "no priority need" 3
"London Borough of Hounslow" 2006-11-30 "White: British" "Not Rec" "eviction - parents" "dependent children" 19 2007-02-13 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-12-01 "White: British" "Not Rec" "eviction - relatives" "pregnant" 33 2007-01-25 "Not Homeless" 4
"London Borough of Hounslow" 2006-12-01 "Asian/AsBrit: Pakistani" "Not Rec" "DV - assoc pers not partn" "young person 16/17 yrs" 17 2007-01-26 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-12-01 "White: British" "Not Rec" "other" "vulnerable - physical" 52 2007-01-31 "Not Homeless" 4
"London Borough of Hounslow" 2006-12-04 "Black/BlkBrit: African" "Not Rec" "other" "care leaver under 21 yrs" 19 2006-12-21 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-12-04 "Black/BlkBrit: African" "Not Rec" "rent arrears - LA" "dependent children" 39 2007-02-13 "Not Homeless" 4
"London Borough of Hounslow" 2006-12-05 "Mixed: Other" "Not Rec" "eviction - parents" "young person 16/17 yrs" 18 2007-01-29 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-12-05 "White: Other" "Not Rec" "end AST not arrears" "dependent children" 25 2007-03-15 "Not Homeless" 4
"London Borough of Hounslow" 2006-12-05 "Black/BlkBrit: Caribbean" "Not Rec" "eviction - parents" "young person 16/17 yrs" 21 2007-03-20 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-12-05 "Other" "Not Rec" "end AST not arrears" "vulnerable - physical" 60 2007-09-19 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-12-06 "Black/BlkBrit: Caribbean" "Not Rec" "DV - assoc pers not partn" "dependent children" 18 2006-12-07 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-12-07 "White: British" "Not Rec" "eviction - parents" "pregnant" 22 2007-01-02 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-12-08 "No Information Provided" "Not Rec" "eviction - parents" "young person 16/17 yrs" 17 2007-05-29 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-12-11 "White: Other" "Not Rec" "end NASS accommodation" "dependent children" 25 2006-12-14 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-12-11 "White: British" "Not Rec" "eviction - parents" "pregnant" 20 2007-05-21 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-12-13 "White: British" "Not Rec" "DV - partner" "vulnerable - physical" 40 2007-02-27 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-12-14 "Asian/AsBrit: Other" "Not Rec" "eviction - relatives" "dependent children" 21 2007-01-02 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-12-14 "White: British" "Not Rec" "other" "emergency-fire/flood etc" 32 2007-02-09 "management transfer" 1
"London Borough of Hounslow" 2006-12-15 "White: British" "Not Rec" "DV - assoc pers not partn" "vulnerable - old age" 64 2007-04-17 "Not Homeless" 4
"London Borough of Hounslow" 2006-12-19 "White: British" "Not Rec" "loss of rented - other" "vulnerable-mental illness" 48 2007-01-08 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-12-19 "Asian/AsBrit: Indian" "Not Rec" "eviction - relatives" "vulnerable - old age" 58 2007-02-26 "Not Homeless" 4
"London Borough of Hounslow" 2006-12-19 "Asian/AsBrit: Other" "Not Rec" "other" "care leaver under 21 yrs" 18 2007-03-20 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-12-21 "Asian/AsBrit: Indian" "Not Rec" "end AST not arrears" "vulnerable - physical" 37 2007-01-19 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-12-21 "Other" "Not Rec" "other" "vulnerable - old age" 61 2007-02-05 "approved permanent rehous" 1
"London Borough of Hounslow" 2006-12-21 "Black/BlkBrit: Other" "Not Rec" "leaving care" "care leaver under 21 yrs" 20 2007-08-13 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-02 "Asian/AsBrit: Other" "Not Rec" "other" "dependent children" 38 2007-03-05 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-03 "Black/BlkBrit: Other" "Not Rec" "end AST not arrears" "dependent children" 36 2007-02-01 "Not Homeless" 4
"London Borough of Hounslow" 2007-01-03 "Black/BlkBrit: African" "Non-EEA National" "eviction - relatives" "dependent children" 37 2007-02-15 "Not Homeless" 4
"London Borough of Hounslow" 2007-01-04 "White: British" "Not Rec" "DV - assoc pers not partn" "vulnerable-mental illness" 42 2007-01-04 "resettlement case" 1
"London Borough of Hounslow" 2007-01-04 "White: British" "Not Rec" "eviction - parents" "pregnant" 21 2007-02-05 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-04 "White: British" "Not Rec" "DV - assoc pers not partn" "vulnerable-mental illness" 42 2007-02-09 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-05 "White: British" "Not Rec" "end AST not arrears" "vulnerable - physical" 28 2007-01-05 "resettlement case" 1
"London Borough of Hounslow" 2007-01-05 "White: British" "Not Rec" "DV - assoc pers not partn" "young person 16/17 yrs" 17 2007-01-12 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-05 "White: British" "Not Rec" "eviction - parents" "young person 16/17 yrs" 16 2007-01-15 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-05 "White: British" "Not Rec" "end AST not arrears" "vulnerable - physical" 28 2007-01-24 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-05 "Black/BlkBrit: Other" "Not Rec" "leaving care" "care leaver under 21 yrs" 18 2007-07-16 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-08 "Asian/AsBrit: Indian" "UK National" "DV - partner" "dependent children" 33 2007-01-16 "no priority need" 3
"London Borough of Hounslow" 2007-01-09 "Asian/AsBrit: Other" "Not Rec" "end AST not arrears" "dependent children" 36 2007-01-26 "not elig, other" 5
"London Borough of Hounslow" 2007-01-09 "Other" "Not Rec" "end AST not arrears" "dependent children" 35 2007-02-02 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-10 "Asian/AsBrit: Other" "UK National" "loss of rented - other" "dependent children" 28 2007-02-08 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-11 "Asian/AsBrit: Indian" "Not Rec" "DV - partner" "domestic violence/ threat" 23 2007-02-02 "management transfer" 1
"London Borough of Hounslow" 2007-01-11 "White: British" "Not Rec" "eviction - friends" "dependent children" 20 2007-02-08 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-11 "Other" "Not Rec" "eviction - friends" "dependent children" 30 2007-04-17 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-12 "White: British" "Not Rec" "relationshp brkdwn not DV" "vulnerable - physical" 66 2007-04-04 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-12 "Black/BlkBrit: African" "Not Rec" "end NASS accommodation" "dependent children" 59 2007-04-12 "section 198 out" 1
"London Borough of Hounslow" 2007-01-15 "White: Other" "Not Rec" "loss of rented - other" "dependent children" 29 2007-01-16 "not elig, other" 5
"London Borough of Hounslow" 2007-01-15 "White: British" "Not Rec" "eviction - parents" "dependent children" 23 2007-02-19 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-15 "White: Other" "Not Rec" "end AST not arrears" "dependent children" 30 2007-02-19 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-15 "No Information Provided" "Not Rec" "end AST not arrears" "dependent children" 31 2007-03-09 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-16 "Black/BlkBrit: African" "Not Rec" "loss of rented - other" "dependent children" 42 2007-01-17 "Not Homeless" 4
"London Borough of Hounslow" 2007-01-16 "White: British" "Not Rec" "loss of rented - other" "dependent children" 22 2007-01-25 "Not Homeless" 4
"London Borough of Hounslow" 2007-01-16 "White: British" "Not Rec" "eviction - relatives" "pregnant" 19 2007-01-29 "Not Homeless" 4
"London Borough of Hounslow" 2007-01-17 "Black/BlkBrit: African" "Not Rec" "rent arrears - HA" "dependent children" 45 2007-02-08 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-17 "Black/BlkBrit: Other" "Not Rec" "eviction - friends" "dependent children" 36 2007-02-19 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-18 "White: British" "Not Rec" "eviction - parents" "young person 16/17 yrs" 17 2007-03-01 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-18 "Black/BlkBrit: Other" "Not Rec" "end NASS accommodation" "care leaver under 21 yrs" 20 2007-05-29 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-18 "Black/BlkBrit: Other" "Not Rec" "end NASS accommodation" "care leaver under 21 yrs" 20 2007-10-31 "not elig, other" 5
"London Borough of Hounslow" 2007-01-19 "Other" "Not Rec" "other" "dependent children" 34 2007-02-05 "Not Homeless" 4
"London Borough of Hounslow" 2007-01-19 "Black/BlkBrit: African" "Not Rec" "end NASS accommodation" "dependent children" 33 2007-03-30 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-19 "White: British" "Not Rec" "relationshp brkdwn not DV" "pregnant" 19 2007-05-21 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-22 "White: British" "Not Rec" "end AST not arrears" "dependent children" 29 2007-02-19 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-24 "Asian/AsBrit: Indian" "Not Rec" "loss of rented - other" "dependent children" 33 2007-02-06 "Not Homeless" 4
"London Borough of Hounslow" 2007-01-24 "White: British" "Not Rec" "eviction - parents" "dependent children" 18 2007-05-14 "Not Homeless" 4
"London Borough of Hounslow" 2007-01-24 "Mixed: Other" "Not Rec" "eviction - parents" "young person 16/17 yrs" 17 2007-08-15 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-25 "White: British" "Not Rec" "DV - assoc pers not partn" "care leaver under 21 yrs" 19 2007-04-25 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-25 "White: British" "UK National" "leaving prison" "care leaver under 21 yrs" 20 2007-10-03 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-26 "White: British" "Not Rec" "eviction - parents" "dependent children" 21 2007-02-07 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-26 "Black/BlkBrit: African" "Not Rec" "eviction - friends" "dependent children" 27 2007-02-14 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-26 "White: British" "Not Rec" "eviction - relatives" "dependent children" 25 2007-02-22 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-26 "Asian/AsBrit: Other" "Not Rec" "end AST not arrears" "dependent children" 36 2007-02-27 "Not Homeless" 4
"London Borough of Hounslow" 2007-01-26 "Black/BlkBrit: African" "Not Rec" "unsuitable, unfit proprty" "dependent children" 43 2007-03-29 "Not Homeless" 4
"London Borough of Hounslow" 2007-01-29 "White: British" "Not Rec" "eviction - parents" "dependent children" 23 2007-02-02 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-29 "Black/BlkBrit: African" "Not Rec" "other violence" "young person 16/17 yrs" 17 2007-02-21 "Not Homeless" 4
"London Borough of Hounslow" 2007-01-29 "White: British" "UK National" "other violence" "dependent children" 37 2007-02-22 "management transfer" 1
"London Borough of Hounslow" 2007-01-29 "Asian/AsBrit: Pakistani" "Not Rec" "loss of rented - other" "dependent children" 24 2007-02-28 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-29 "White: British" "UK National" "eviction - parents" "vulnerable-mental illness" 41 2007-03-01 "no priority need" 3
"London Borough of Hounslow" 2007-01-29 "Asian/AsBrit: Other" "Not Rec" "other harassment" "dependent children" 52 2007-03-06 "Not Homeless" 4
"London Borough of Hounslow" 2007-01-30 "White: British" "UK National" "other" "dependent children" 42 2007-02-01 "Not Homeless" 4
"London Borough of Hounslow" 2007-01-30 "White: Other" "Not Rec" "other harassment" "dependent children" 41 2007-02-16 "Not Homeless" 4
"London Borough of Hounslow" 2007-01-30 "White: Other" "Not Rec" "end AST not arrears" "vulnerable - physical" 45 2007-03-13 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-30 "Asian/AsBrit: Bangladeshi" "Not Rec" "eviction - relatives" "dependent children" 22 2007-10-30 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-31 "White: British" "Not Rec" "eviction - parents" "pregnant" 21 2007-02-07 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-31 "Black/BlkBrit: African" "Not Rec" "other harassment" "dependent children" 37 2007-02-13 "management transfer" 1
"London Borough of Hounslow" 2007-01-31 "White: Irish" "UK National" "end AST not arrears" "dependent children" 47 2007-03-09 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-31 "White: British" "Not Rec" "other" "vulnerable-mental illness" 47 2007-03-12 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-01-31 "No Information Provided" "Not Rec" "leaving hospital" "vulnerable - physical" 22 2007-03-24 "no priority need" 3
"London Borough of Hounslow" 2007-02-01 "White: British" "Not Rec" "eviction - parents" "dependent children" 20 2007-02-13 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-02-01 "Black/BlkBrit: African" "Not Rec" "eviction - relatives" "dependent children" 31 2007-05-15 "Not Homeless" 4
"London Borough of Hounslow" 2007-02-01 "Black/BlkBrit: African" "Not Rec" "eviction - friends" "pregnant" 21 2007-07-20 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-02-02 "Mixed: White/Asian" "Not Rec" "emergency e.g. fire" "vulnerable - physical" 42 2007-02-02 "management transfer" 1
"London Borough of Hounslow" 2007-02-02 "White: Other" "Not Rec" "rent arrears - LA" "dependent children" 29 2007-03-15 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-02-05 "White: British" "UK National" "eviction - parents" "young person 16/17 yrs" 17 2007-02-05 "resettlement case" 1
"London Borough of Hounslow" 2007-02-05 "White: British" "UK National" "eviction - parents" "young person 16/17 yrs" 17 2007-02-23 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-02-05 "Asian/AsBrit: Other" "Not Rec" "eviction - relatives" "young person 16/17 yrs" 17 2007-06-06 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-02-06 "White: British" "Not Rec" "eviction - relatives" "care leaver under 21 yrs" 23 2007-03-16 "no priority need" 3
"London Borough of Hounslow" 2007-02-06 "White: British" "Not Rec" "sleeping rough" "dependent children" 31 2007-03-29 "approved permanent rehous" 1
"London Borough of Hounslow" 2007-02-06 "White: British" "Not Rec" "eviction - relatives" "care leaver under 21 yrs" 17 2007-07-27 "approved permanent rehous" 1
